server,model,pp,tg,run,server_pp_tps,server_tg_tps,prompt_tokens,eval_tokens,acceptance,draft_len
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,12,7712.4,248.53,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,13,7702.0,244.23,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,14,7707.2,247.78,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,0,7483.9,251.3,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,1,7878.0,244.76,2059,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,2,7927.6,244.54,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,3,7909.6,248.31,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,4,7899.3,244.42,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,5,7917.4,251.45,2059,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,6,7910.8,246.25,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,7,7920.3,248.99,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,8,7902.9,246.27,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,9,7923.0,243.64,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,10,7944.1,253.67,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,11,7922.1,249.09,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,12,7903.8,243.87,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,13,7911.1,243.27,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,14,7916.3,246.17,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,0,7498.9,241.12,2058,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,1,7886.4,243.48,2060,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,2,7942.0,242.07,2058,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,3,7943.8,249.95,2058,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,4,7938.0,247.61,2058,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,5,7931.6,243.06,2058,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,6,7932.7,241.04,2059,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,7,7924.2,248.59,2058,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,8,7928.0,240.86,2057,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,9,7927.9,242.27,2058,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,10,7912.0,242.33,2058,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,11,7966.2,242.9,2058,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,12,7915.1,241.12,2058,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,13,7932.8,243.55,2058,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,14,7907.5,242.95,2058,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,0,7648.9,241.86,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,1,7791.1,239.68,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,2,7828.1,245.53,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,3,7774.1,248.24,4107,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,4,7791.7,239.22,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,5,7819.8,240.22,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,6,7781.2,243.66,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,7,7791.1,239.59,4107,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,8,7810.1,241.84,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,9,7787.9,244.29,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,10,7778.0,246.74,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,11,7821.1,240.71,4105,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,12,7786.4,241.89,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,13,7769.7,239.32,4107,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,32,14,7828.6,244.33,4106,32,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,0,7606.1,241.24,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,1,7834.7,239.25,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,2,7813.1,241.02,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,3,7816.9,239.16,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,4,7819.6,238.33,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,5,7806.2,239.91,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,6,7855.9,240.62,4105,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,7,7783.9,238.49,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,8,7806.2,239.44,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,9,7814.1,237.88,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,10,7794.2,237.88,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,11,7819.5,238.08,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,12,7804.3,238.31,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,13,7807.3,240.04,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,4096,64,14,7798.2,239.11,4106,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,0,7169.5,233.49,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,1,7232.0,243.59,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,2,7233.8,232.14,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,3,7247.6,233.99,8201,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,4,7231.7,235.17,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,5,7239.4,233.27,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,6,7243.3,232.09,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,7,7230.6,237.69,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,8,7241.2,232.68,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,9,7244.4,233.51,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,10,7231.1,231.63,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,11,7236.4,232.42,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,12,7242.1,232.1,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,13,7236.3,231.18,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,32,14,7241.4,234.26,8202,32,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,0,7196.8,231.24,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,1,7255.1,229.72,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,2,7258.5,229.99,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,3,7251.0,229.82,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,4,7245.4,234.66,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,5,7257.4,234.24,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,6,7253.0,228.87,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,7,7240.5,228.89,8201,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,8,7242.0,229.65,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,9,7254.8,228.84,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,10,7245.6,230.01,8203,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,11,7234.5,234.7,8203,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,12,7243.0,230.54,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,13,7246.0,229.22,8202,64,,
llamafile,Qwen3.5-0.8B-Q8_0,8192,64,14,7272.8,230.73,8202,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,0,6165.2,191.35,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,1,7410.1,230.38,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,2,7413.8,228.03,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,3,7411.1,232.79,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,4,7396.3,229.39,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,5,7440.4,237.71,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,6,7386.8,235.74,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,7,7424.4,230.12,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,8,7390.5,232.05,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,9,7397.4,231.87,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,10,7414.3,231.23,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,11,7398.4,229.28,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,12,7500.7,229.82,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,13,7403.7,230.58,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,32,14,7427.6,230.08,1036,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,0,6180.6,219.64,1036,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,1,7393.7,227.81,1036,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,2,7519.2,228.6,1036,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,3,7401.6,226.48,1036,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,4,7437.7,228.65,1036,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,5,7429.7,227.53,1036,60,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,6,7419.1,231.44,1036,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,7,7404.8,226.75,1036,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,8,7412.2,228.55,1036,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,9,7426.2,228.39,1037,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,10,7430.3,225.7,1036,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,11,7517.6,228.48,1036,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,12,7452.2,225.19,1036,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,13,7387.1,228.21,1035,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,1024,64,14,7408.7,227.77,1037,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,0,7187.0,228.59,2060,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,1,7832.7,227.69,2060,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,2,7772.7,229.39,2060,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,3,7781.2,228.6,2060,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,4,7768.3,229.8,2060,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,5,7782.4,231.3,2060,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,6,7818.7,234.66,2060,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,7,7779.2,230.12,2060,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,8,7783.0,227.79,2060,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,9,7792.7,227.76,2060,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,10,7820.5,234.55,2060,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,11,7768.6,236.56,2061,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,12,7767.1,230.75,2060,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,13,7768.6,227.77,2060,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,32,14,7793.3,230.15,2060,32,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,64,0,7107.9,226.43,2060,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,64,1,7807.8,226.5,2060,64,,
lm-studio,Qwen3.5-0.8B-Q8_0,2048,64,2,7781.5,224.01,2060,64,,
