ts,gpu_edge_c,cpu_c,batt_c,fan_rpm,gpu_busy_pct,sclk,cpu_mhz_max,load1
2026-09-13T22:53:08Z,71,75,30,5403,99,1375,1702,0.44
2026-09-13T22:53:10Z,75,76,30,5434,99,1339,1702,0.44
2026-09-13T22:53:12Z,72,76,30,5434,99,1595,1819,0.40
2026-09-13T22:53:14Z,75,76,30,5434,100,1531,1702,0.40
2026-09-13T22:53:16Z,76,76,30,5434,100,1600,1702,0.37
2026-09-13T22:53:18Z,75,76,30,5403,100,1600,1702,0.37
2026-09-13T22:53:20Z,75,76,30,5403,99,1378,1702,0.37
2026-09-13T22:53:22Z,76,76,30,5403,100,1404,1702,0.34
2026-09-13T22:53:24Z,76,76,30,5387,99,1389,1702,0.34
2026-09-13T22:53:27Z,75,76,30,5387,99,1334,2425,0.39
2026-09-13T22:53:29Z,75,76,30,5403,100,1369,1702,0.39
2026-09-13T22:53:31Z,71,76,30,5387,100,1433,1702,0.39
2026-09-13T22:53:33Z,75,76,30,5434,100,1600,1702,0.36
2026-09-13T22:53:35Z,75,76,30,5387,99,1342,2424,0.36
2026-09-13T22:53:37Z,73,76,30,5434,100,1438,1745,0.33
2026-09-13T22:53:39Z,73,75,30,5434,99,1357,1702,0.33
2026-09-13T22:53:41Z,67,75,30,5387,99,1040,2424,0.47
2026-09-13T22:53:43Z,75,74,30,5403,100,1384,1702,0.47
2026-09-13T22:53:45Z,75,75,30,5434,100,1392,1702,0.47
2026-09-13T22:53:47Z,75,76,30,5434,99,1380,1400,0.43
2026-09-13T22:53:49Z,75,76,30,5434,100,1388,1702,0.43
2026-09-13T22:53:51Z,76,76,30,5403,99,1410,1702,0.39
2026-09-13T22:53:53Z,75,76,30,5434,99,1410,1702,0.39
2026-09-13T22:53:55Z,75,76,30,5434,99,1338,2424,0.39
2026-09-13T22:53:58Z,76,76,30,5434,100,1375,1702,0.36
2026-09-13T22:54:00Z,76,76,30,5403,99,1378,1702,0.36
2026-09-13T22:54:02Z,75,76,30,5434,99,1350,1399,0.33
2026-09-13T22:54:04Z,74,76,30,5403,99,1360,1517,0.33
2026-09-13T22:54:06Z,75,76,30,5434,100,1380,1702,0.33
2026-09-13T22:54:08Z,76,76,30,5387,100,1372,1702,0.47
2026-09-13T22:54:10Z,75,76,30,5434,100,1365,1702,0.47
2026-09-13T22:54:12Z,73,76,30,5403,99,1343,1702,0.51
2026-09-13T22:54:14Z,73,75,30,5434,99,1410,1702,0.51
2026-09-13T22:54:16Z,73,75,30,5434,100,1338,1702,0.47
2026-09-13T22:54:18Z,75,74,30,5403,99,1379,1702,0.47
2026-09-13T22:54:20Z,76,75,30,5434,99,1378,1702,0.47
2026-09-13T22:54:22Z,75,76,30,5434,99,1377,1400,0.43
2026-09-13T22:54:25Z,75,76,30,5434,99,1372,1702,0.43
2026-09-13T22:54:27Z,76,76,30,5434,99,1377,1702,0.40
2026-09-13T22:54:29Z,76,76,30,5434,100,1379,1702,0.40
2026-09-13T22:54:31Z,75,76,30,5403,99,1332,2425,0.40
2026-09-13T22:54:33Z,72,76,30,5403,99,1482,1702,0.44
2026-09-13T22:54:35Z,71,76,30,5434,100,1592,1702,0.44
2026-09-13T22:54:37Z,72,76,30,5403,99,1598,1702,0.41
2026-09-13T22:54:39Z,75,76,30,5403,100,1330,2424,0.41
2026-09-13T22:54:41Z,76,76,30,5434,100,1376,1702,0.38
2026-09-13T22:54:43Z,76,76,30,5387,100,1359,1702,0.38
2026-09-13T22:54:45Z,77,76,30,5434,99,1362,1702,0.38
2026-09-13T22:54:47Z,73,76,30,5434,100,1424,1400,0.35
2026-09-13T22:54:49Z,72,75,30,5403,1,1433,1400,0.35
2026-09-13T22:54:51Z,74,75,30,5403,99,1479,1702,0.32
2026-09-13T22:54:53Z,76,74,30,5434,99,1355,1702,0.32
2026-09-13T22:54:56Z,75,75,30,5387,100,1375,1702,0.32
2026-09-13T22:54:58Z,76,75,30,5387,100,1374,1702,0.29
2026-09-13T22:55:00Z,75,76,30,5434,99,1382,1702,0.29
2026-09-13T22:55:02Z,78,76,30,5434,100,1382,1702,0.27
2026-09-13T22:55:04Z,75,76,30,5403,99,1383,1702,0.27
2026-09-13T22:55:06Z,76,76,30,5434,100,1379,1702,0.25
2026-09-13T22:55:08Z,76,76,30,5387,100,1361,1702,0.25
2026-09-13T22:55:10Z,71,76,30,5434,100,1487,1702,0.25
2026-09-13T22:55:12Z,74,76,30,5387,100,1378,1399,0.23
2026-09-13T22:55:14Z,72,76,30,5387,99,1600,2424,0.23
2026-09-13T22:55:16Z,76,76,30,5434,99,1379,1702,0.21
2026-09-13T22:55:18Z,77,76,30,5387,99,1349,1702,0.21
2026-09-13T22:55:20Z,73,76,30,5434,100,1331,1702,0.21
2026-09-13T22:55:22Z,75,76,30,5434,99,1531,2424,0.19
2026-09-13T22:55:25Z,72,75,30,5387,100,1357,1702,0.19
2026-09-13T22:55:27Z,72,75,30,5434,99,1339,1702,0.18
2026-09-13T22:55:29Z,66,75,30,5403,0,200,2424,0.18
2026-09-13T22:55:31Z,60,73,30,5434,0,200,2424,0.18
2026-09-13T22:55:33Z,58,71,30,5403,0,200,2424,0.16
2026-09-13T22:55:35Z,57,69,30,5281,37,1040,2424,0.16
2026-09-13T22:55:37Z,56,67,30,5296,16,1040,2424,0.23
2026-09-13T22:55:39Z,55,65,30,5000,0,200,2424,0.23
2026-09-13T22:55:41Z,54,64,30,4380,0,200,2424,0.29
2026-09-13T22:55:43Z,68,64,30,4360,99,1370,1399,0.29
2026-09-13T22:55:45Z,66,68,30,3626,99,1600,1702,0.29
2026-09-13T22:55:47Z,68,69,30,3571,99,1600,1702,0.27
2026-09-13T22:55:49Z,68,70,30,3698,100,1389,1702,0.27
2026-09-13T22:55:51Z,72,71,30,3712,100,1600,1702,0.25
2026-09-13T22:55:53Z,72,72,30,3989,100,1600,1400,0.25
2026-09-13T22:55:55Z,67,73,30,4261,100,1040,2424,0.25
2026-09-13T22:55:58Z,73,73,30,4330,99,1600,1702,0.23
2026-09-13T22:56:00Z,74,74,30,4595,100,1471,1702,0.23
2026-09-13T22:56:02Z,71,74,30,4652,99,1435,1702,0.21
2026-09-13T22:56:04Z,72,73,30,4652,99,1518,1702,0.21
2026-09-13T22:56:06Z,74,73,30,4770,99,1518,1399,0.21
2026-09-13T22:56:08Z,75,74,30,5067,100,1407,1702,0.19
2026-09-13T22:56:10Z,75,75,30,5136,100,1600,1702,0.19
2026-09-13T22:56:12Z,75,75,30,5136,100,1600,2169,0.17
