server,model,pp,tg,run,server_pp_tps,server_tg_tps,prompt_tokens,eval_tokens,acceptance,draft_len
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,4,32538.2,364.4,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,5,32636.5,365.23,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,6,32672.9,364.8,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,7,32657.3,364.96,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,8,32546.2,359.35,4107,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,9,32652.1,365.23,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,10,32633.9,362.91,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,11,32623.5,365.46,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,12,32015.6,365.4,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,13,32646.9,365.53,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,4096,64,14,32649.5,365.63,4106,64,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,0,31591.1,333.47,8202,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,1,33548.8,353.28,8202,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,2,34504.2,352.89,8202,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,3,34492.6,353.43,8202,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,4,34616.2,354.06,8203,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,5,34635.5,354.26,8201,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,6,34633.9,347.75,8202,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,7,34556.4,353.63,8203,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,8,34584.2,349.88,8202,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,9,34616.4,351.53,8202,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,10,34642.7,353.59,8202,32,,
llama-cpp,Qwen3.5-0.8B-Q8_0,8192,32,11,34606.1,353.55,8202,32,,
