ts,gpu_edge_c,cpu_c,batt_c,fan_rpm,gpu_busy_pct,sclk,cpu_mhz_max,load1
2026-09-12T17:50:13Z,62,67,31,3360,100,1040,2424,1.19
2026-09-12T17:50:15Z,58,66,31,3366,0,200,2424,1.34
2026-09-12T17:50:17Z,58,66,31,3360,0,200,3501,1.34
2026-09-12T17:50:19Z,56,65,31,3366,0,200,2425,1.34
2026-09-12T17:50:21Z,66,64,31,3360,99,1600,1399,1.31
2026-09-12T17:50:23Z,60,67,31,3360,100,1040,2424,1.31
2026-09-12T17:50:26Z,64,67,31,3366,100,200,2424,1.21
2026-09-12T17:50:28Z,69,67,31,3360,99,1333,2424,1.21
2026-09-12T17:50:30Z,59,68,31,3366,5,1040,2426,1.21
2026-09-12T17:50:32Z,62,69,31,3366,99,1040,2424,1.11
2026-09-12T17:50:34Z,72,68,31,3366,99,1446,1702,1.11
2026-09-12T17:50:36Z,68,69,31,3366,99,1474,2424,1.10
2026-09-12T17:50:38Z,63,70,31,3366,0,1040,2425,1.10
2026-09-12T17:50:40Z,65,71,31,3366,100,1040,2424,1.10
2026-09-12T17:50:42Z,69,70,31,3585,100,1463,2030,1.01
2026-09-12T17:50:44Z,64,70,31,3585,100,1040,2424,1.01
2026-09-12T17:50:46Z,64,71,31,3591,0,1040,2425,0.93
2026-09-12T17:50:48Z,74,71,31,3591,100,1358,1702,0.93
2026-09-12T17:50:50Z,70,70,31,3605,100,1600,1702,0.86
2026-09-12T17:50:52Z,64,71,31,3585,100,1040,2424,0.86
2026-09-12T17:50:54Z,66,72,31,3605,99,1040,2425,0.86
2026-09-12T17:50:56Z,74,71,31,3626,100,1393,1399,0.87
2026-09-12T17:50:58Z,66,71,31,3640,99,1040,2426,0.87
2026-09-12T17:51:00Z,64,72,31,3640,100,1040,2425,0.88
2026-09-12T17:51:03Z,74,71,31,3662,100,1352,1702,0.88
2026-09-12T17:51:05Z,61,71,31,3640,0,200,2424,0.88
2026-09-12T17:51:07Z,59,70,31,3640,0,200,2424,0.89
2026-09-12T17:51:09Z,58,68,31,3640,0,200,2424,0.89
2026-09-12T17:51:11Z,68,67,31,3654,99,1600,2421,0.90
2026-09-12T17:51:13Z,63,68,31,3662,99,1040,2424,0.90
2026-09-12T17:51:15Z,70,69,31,3640,99,1600,2424,0.90
2026-09-12T17:51:17Z,71,69,31,3654,99,1600,2026,0.83
2026-09-12T17:51:19Z,67,69,31,3654,100,1571,2424,0.83
2026-09-12T17:51:21Z,67,70,31,3654,100,1330,2424,0.76
2026-09-12T17:51:23Z,71,71,31,3662,100,1600,2425,0.76
2026-09-12T17:51:25Z,72,71,31,3662,100,1600,2427,0.70
2026-09-12T17:51:27Z,66,71,31,3662,100,1179,2424,0.70
2026-09-12T17:51:29Z,69,72,31,3662,99,1298,2424,0.70
2026-09-12T17:51:31Z,73,72,31,3803,100,1596,2425,0.64
2026-09-12T17:51:33Z,72,72,31,3842,99,1600,1976,0.64
2026-09-12T17:51:35Z,66,72,31,3881,99,1040,2425,0.59
