server,model,pp,tg,run,server_pp_tps,server_tg_tps,prompt_tokens,eval_tokens,acceptance,draft_len
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,11,888.7,67.3,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,12,882.7,67.86,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,13,882.7,66.11,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,32,14,883.0,66.98,1034,32,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,0,800.5,60.1,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,1,868.4,63.46,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,2,875.4,67.17,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,3,884.9,66.63,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,4,883.4,65.33,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,5,878.9,66.68,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,6,880.9,65.36,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,7,883.2,67.42,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,8,884.4,65.64,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,9,883.5,66.51,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,10,878.8,65.48,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,11,884.4,66.21,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,12,880.7,65.13,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,13,878.7,66.85,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,1024,64,14,883.1,65.48,1034,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,0,868.5,59.35,2059,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,1,908.9,65.95,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,2,908.8,66.97,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,3,909.5,66.23,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,4,908.9,64.65,2059,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,5,907.8,66.71,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,6,908.3,65.63,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,7,910.0,67.25,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,8,909.6,65.59,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,9,909.2,66.09,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,10,909.5,66.34,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,11,908.8,67.15,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,12,908.7,66.0,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,13,908.2,66.36,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,32,14,909.6,65.78,2058,32,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,0,873.3,61.5,2058,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,1,913.8,64.93,2058,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,2,913.7,66.81,2058,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,3,913.5,65.75,2058,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,4,912.3,64.9,2059,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,5,913.2,64.2,2059,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,6,913.6,65.59,2058,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,7,913.3,65.61,2058,64,,
llamafile,Qwen3.5-0.8B-Q8_0,2048,64,8,913.1,64.34,2058,64,,
